Content,Time
"<b>提交Writeup通知和比赛反馈问卷</b><br><br>
比赛已经结束，题目将持续开放一段时间供选手练习。<br>
<b>校内前35名选手需要在21日（周日）22:00前提交writeup</b>，其他选手可自愿提交。我们会公开部分优秀writeup供学习交流，你可以在writeup开头声明“不要公开”或“无条件公开”自己的writeup（如不声明我们会视质量自行斟酌）。<br>
请将 .pdf/.md/.docx/.pptx 格式的writeup和相关代码等附加文件打包成 .zip 格式，以自己的平台昵称命名（如有特殊符号可以在文件名中去除，并在writeup开头标注完整昵称），上传到 <a href=""https://disk.pku.edu.cn/link/4A390E25B92617AE9F499042C3C75393"" target=""_blank"">北大网盘</a> 。<br>
由于检查writeup是反作弊工作的一环，请校内前35名选手务必按时提交writeup！在截止时间前请不要公开你的writeup，否则别人抄袭你的writeup可能使你受到影响。<br>
另外欢迎填写比赛反馈问卷，<a href=""https://www.wjx.cn/vj/YrnzpZH.aspx"" target=""_blank"">校内选手点我</a> / <a href=""https://www.wjx.cn/vj/tdyNJZE.aspx"" target=""_blank"">校外选手点我</a>",2021-11-20T04:06:11.839Z
"<b>封禁公告</b><br>
我们发现校内选手【冲...！】、校外选手【端...水】、校外选手【G...k】有注册小号逃避处罚的行为，已封禁相关账号。相关人员如有疑问可以在选手群私戳管理员或者发邮件到 geekgame at pku.edu.cn 申诉。请其他选手注意比赛纪律。",2021-11-20T03:53:26.306Z
"<b>已进入第二阶段</b><br>
第二阶段提示已放出，详见题目底部。第二阶段题目分数锁定且只能获得1/4的分数。",2021-11-18T04:06:55.208Z
"<b>第二阶段将在明天开始</b><br>
第二阶段将在18日（周四）中午12:00开始，届时将放出提示或降低难度，但只能获得题目1/4的分数。<br>
请选手注意时间安排。",2021-11-17T04:21:47.663Z
"<b>【叶子的新歌】新增补充说明</b><br>
“得到的每个密码或提示最多只会用到一次”。<br>
另外之前散落在公告中的补充说明已经都搬运至题目描述。",2021-11-16T14:45:01.017Z
"<b>封禁公告</b><br>
我们发现校外选手【O...o】、【不...妄】、【L...n】有讨论题目答案的迹象，已经封禁相关账号。相关人员如有疑问可以在选手群私戳管理员或者发邮件到 geekgame at pku.edu.cn 申诉。请其他选手注意比赛纪律。",2021-11-16T09:41:38.162Z
"<b>封禁公告</b><br>
我们发现校内选手【To...ng】和校外选手【我...题】有讨论题目答案的迹象，已经封禁相关账号。相关人员如有疑问可以在选手群私戳管理员或者发邮件到 geekgame at pku.edu.cn 申诉。请其他选手注意比赛纪律。",2021-11-15T16:08:43.205Z
"<b>【电子游戏概论】新增提示</b><br>
详见题目描述最后",2021-11-15T15:14:00.654Z
"<b>封禁公告</b><br>
我们发现校内选手【zj...01】和【Ha...pi】有交换Flag和讨论题目答案的迹象，已经封禁相关账号。相关人员如有疑问可以在选手群私戳管理员或者发邮件到 geekgame at pku.edu.cn 申诉。请其他选手注意比赛纪律。",2021-11-15T11:20:35.084Z
"<b>【电子游戏概论】提示预告</b><br>
此题如果在今日23:00前仍无人解出Flag 1，将放出提示。",2021-11-15T07:41:46.467Z
"<b>【小北问答Remake】补充说明</b><br>
最后一题题面有更新，只考虑完全隶属于信科的实验室，不包含与其他机构联合成立的实验室。名称采用实验室的标准全程，不含前缀“xx学院”和“暨”字等。",2021-11-14T17:40:57.049Z
"<b>【新放出了4道题目】</b><br>
分别是 “共享的机器”（Misc）、“在线解压网站”（Web）、“字符串转义”（Binary）、“密码学实践”（Algorithm）。所有题目均已放出。",2021-11-14T03:57:23.888Z
"<b>【早期人类的聊天室】题目更新</b><br>
原先点击 submit 可能遇到 504 错误，这是因为对方一直没有回复。现在已经更新了代码，3s内没有回复会显示 “timed out”。<br>
另外如果环境崩溃可以手动重启，参见 <a href=""https://geekgame.pku.edu.cn/faq/"" target=""_blank"">FAQ: 关于 Web 题目环境</a>。",2021-11-14T03:49:30.499Z
"<b>【射水鱼】补充说明</b><br>
Flag 位于磁盘的根目录，即文件的完整路径是 <code>/flag</code>。",2021-11-14T03:25:13.049Z
"<b>【诡异的网关】【翻车的谜语人】【电子游戏概论】【扫雷】新增提示</b><br>
详情见题目描述底部。",2021-11-13T16:34:59.975Z
"<b>【关于比赛系统的两处异常情况】</b><br>
请选手留意：<br>
1. web题初次访问时可能遇到502错误，这是因为后端尚未启动完成。等几秒后刷新即可。<br>
2. 题目的动态分值每分钟更新一次，在更新时比赛排行榜分数可能不完整。如果遇到排行榜显示错误的情况等几秒后刷新即可。",2021-11-13T13:18:47.619Z
"<b>【新放出了4道题目】</b><br>
分别是 “翻车的谜语人”（Misc）、“早期人类的聊天室”（Web）、“射水鱼”（Binary）、“龙珠模拟器”（Algorithm）。按计划明天12点将放出最后一批题目，敬请留意。",2021-11-13T13:01:16.429Z
"<b>【关于电子游戏概论】</b><br>
已知此题程序在存放路径的名称含有中文字符时无法运行。请选手注意。",2021-11-13T10:40:25.353Z
"<b>【关于签到】</b><br>
签到题的 Flag 是在英语里有意义的内容，如果你得到一串乱码说明方法不对或者没做完，不是题目问题。",2021-11-13T04:28:35.252Z
"<b>【分批放题说明】</b><br>
比赛题目将分三批放出，分别是比赛开始时（周六12点）、周六21点左右、周日12点左右。第一批放出的题目约占总数的一半。解题先后不影响分数（在分数相同时按最后提交时间排序），请选手合理安排自己的时间。",2021-11-12T17:00:20.877Z
"<b>关于选手QQ群：</b><br>
为了防止错过Writeup提交和颁奖等信息，请校内选手加入QQ群732129414。校外选手可以自愿加群或不加群。",2021-11-12T08:27:04.957Z
<b>奖项设置信息已更新</b>，在比赛开始前奖品可能仍有微调。,2021-11-09T18:03:26.733Z
<b>已修复少数学生无法通过IAAA登录的问题</b>，如果之前登录遇到500、504等错误请重试一下,2021-11-06T05:26:44.225Z
